Name,Category
" Product Lifecycle Management",Problem Solving & Strategy ⚡
" Figma",Tools & Technologies 💻
" Product Thinking",Problem Solving & Strategy ⚡
Problem Structuring,Problem Solving & Strategy ⚡
" User Research",Problem Solving & Strategy ⚡
Product Roadmapping,Problem Solving & Strategy ⚡
" Prioritization (RICE)",Problem Solving & Strategy ⚡
Customer Journey Mapping,Problem Solving & Strategy ⚡
Hypothesis-Driven Development,Problem Solving & Strategy ⚡
A/B Testing,Problem Solving & Strategy ⚡
Conversion Optimization,Problem Solving & Strategy ⚡
Data Analysis,Data & Analytics 📊
" SQL",Data & Analytics 📊
Funnel Analysis,Data & Analytics 📊
"Metrics Definition (KPIs, North Star)",Data & Analytics 📊
Experimentation,Data & Analytics 📊
Google Sheets / MS Excel,Tools & Technologies 💻
" Workflow Design",Systems & Execution ⚙️
" Operational Efficiency",Systems & Execution ⚙️
" Stakeholder Management",Systems & Execution ⚙️
Cross-functional Collaboration,Systems & Execution ⚙️
Agile Methodologies,Systems & Execution ⚙️
Jira,Tools & Technologies 💻
Notion,Tools & Technologies 💻
GitHub,Tools & Technologies 💻
Workflow Automation (n8n),Tools & Technologies 💻
Prompt Design & Iteration (LLMs),AI and Development 🤖
" Rapid Prototyping",AI and Development 🤖
Claude,AI and Development 🤖
ChatGPT,AI and Development 🤖
Gemini,AI and Development 🤖
Vibe Coding,AI and Development 🤖
Google Antigravity,AI and Development 🤖
Lovable,AI and Development 🤖
Emergent,AI and Development 🤖
Cursor,AI and Development 🤖
Google Docs / MS Word,Tools & Technologies 💻
Google Slides / MS Powerpoint,Tools & Technologies 💻
Systems Thinking,Soft Skills ✨
Structured Problem Solving,Soft Skills ✨
Ownership,Soft Skills ✨
Curiosity,Soft Skills ✨
Adaptability,Soft Skills ✨
Bias for Action,Soft Skills ✨
Continuous Learning,Soft Skills ✨
